pdf,column,model,category,ground_truth,predicted,correctness,completeness,overall,reason
NCT00104715_Gravis_GETUG_EU'15,Add-on Treatment,LandingAI (ADE),structured_text,Docetaxel,Not reported,0.0,0.0,0.0,The prediction fails to identify the add-on treatment.
NCT00104715_Gravis_GETUG_EU'15,Author,Gemini 2.5 Flash (free-form),exact_match,Gravis G. et al.,Gwenaelle Gravis et al.,0.0,0.0,0.0,The names are similar but not an exact match.
NCT00104715_Gravis_GETUG_EU'15,Author,LandingAI (ADE),exact_match,Gravis G. et al.,Gwenaelle Gravis et al.,0.0,0.0,0.0,The authors are different.
NCT00104715_Gravis_GETUG_EU'15,COE_RCT_IND_OVERALL_RJ,Gemini 2.5 Flash (free-form),structured_text,Yes (randomized phase III),"The overall risk judgment for the evidence presented in this randomized controlled trial, especially concerning the non-significant survival improvements in subgroups, indicates a high risk of bias or low certainty. This is attributed to several methodological issues, including the retrospective analysis of metastatic extent, insufficient statistical power for subgroup analyses (being 'clearly underpowered'), the study not being initially designed for such post-hoc analyses, and strong departures from proportional hazards assumptions.",0.0,0.0,0.0,"The prediction provides a detailed explanation of the risk judgment, while the ground truth simply states ""Yes"". The prediction does not align with the ground truth."
NCT00104715_Gravis_GETUG_EU'15,COE_RCT_IND_OVERALL_RJ,Gemini 2.5 Flash (native),structured_text,Yes (randomized phase III),not found,0.0,0.0,0.0,"The prediction ""not found"" is equivalent to an empty string. Since the GT is not empty, both correctness and completeness are 0."
NCT00104715_Gravis_GETUG_EU'15,COE_RCT_IND_OVERALL_RJ,LandingAI (ADE),structured_text,Yes (randomized phase III),Not reported,0.0,0.0,0.0,One is empty.
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Control,Gemini 2.5 Flash (free-form),numeric_tolerance,0 (0%),152 (79%),0.0,0.0,0.0,"The predicted numbers (152, 79) do not match the ground truth numbers (0, 0). Therefore, correctness is 0.0 and completeness is 0.0."
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Control,Gemini 2.5 Flash (native),numeric_tolerance,0 (0%),152 (79%),0.0,0.0,0.0,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Docetaxel administration - N (%) | Control,LandingAI (ADE),numeric_tolerance,0 (0%),Not reported,0.0,0.0,0.0,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Control,Gemini 2.5 Flash (free-form),numeric_tolerance,Median number of docetaxel cycles = 8 (median exposure proxy),not found,0.0,0.0,0.0,"Since GT has a number and Pred is empty, correctness = 0.0 and completeness = 0.0."
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Control,Gemini 2.5 Flash (native),numeric_tolerance,Median number of docetaxel cycles = 8 (median exposure proxy),not found,0.0,0.0,0.0,"The GT contains the value ""8"" which represents the median number of docetaxel cycles, which is a proxy for median exposure. The predicted value is ""not found"". Since the GT provides a numerical value, and the prediction is ""not found"", this is an incorrect and incomplete extraction."
NCT00104715_Gravis_GETUG_EU'15,Median On-Treatment Duration (mo) | Control,LandingAI (ADE),numeric_tolerance,Median number of docetaxel cycles = 8 (median exposure proxy),Not reported,0.0,0.0,0.0,"GT provides a value ""8"" (median number of docetaxel cycles). Pred is ""Not reported"". Since GT has a numerical value and Pred does not, this is incorrect and incomplete."
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Liver | Control,Gemini 2.5 Flash (native),numeric_tolerance,,23 (12%),0.0,0.0,0.0,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Liver | Treatment,Gemini 2.5 Flash (native),numeric_tolerance,,28 (15%),0.0,0.0,0.0,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Lungs | Control,Gemini 2.5 Flash (native),numeric_tolerance,,not found,0.0,0.0,0.0,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Lungs | Treatment,Gemini 2.5 Flash (native),numeric_tolerance,,not found,0.0,0.0,0.0,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Nodal | Control,Gemini 2.5 Flash (native),numeric_tolerance,,not found,0.0,0.0,0.0,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,Metastases - N (%) | Nodal | Treatment,Gemini 2.5 Flash (native),numeric_tolerance,,not found,0.0,0.0,0.0,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00104715_Gravis_GETUG_EU'15,OS Rate (%) | High volume | Control,Gemini 2.5 Flash (free-form),numeric_tolerance,,"Median OS 35.1 months (95% CI, 29.9–43.6)",0.0,0.0,0.0,"GT is empty, and Pred contains numbers. Therefore, correctness and completeness are both 0.0."
NCT00104715_Gravis_GETUG_EU'15,OS Rate (%) | High volume | Control,Gemini 2.5 Flash (native),numeric_tolerance,,35.1 mo,0.0,0.0,0.0,"GT is empty, but Pred has a value. This indicates an error."
NCT00104715_Gravis_GETUG_EU'15,OS Rate (%) | High volume | Treatment,Gemini 2.5 Flash (free-form),numeric_tolerance,,"Median OS 39.8 months (95% CI, 28.0–53.4)",0.0,0.0,0.0,"GT is empty, and Pred contains numbers. Therefore, correctness and completeness are both 0.0."
NCT00104715_Gravis_GETUG_EU'15,OS Rate (%) | High volume | Treatment,Gemini 2.5 Flash (native),numeric_tolerance,,39.8 mo,0.0,0.0,0.0,"GT is empty, but Pred has a value. Since the definition asks for a percentage and the predicted value is in months, this is incorrect."
NCT00104715_Gravis_GETUG_EU'15,OS Rate (%) | Low volume | Control,Gemini 2.5 Flash (free-form),numeric_tolerance,,"Median OS 83.4 months (95% CI, 61.8-NR)",0.0,0.0,0.0,"The GT is empty, and the Pred contains numeric values (83.4, 61.8). Since the GT is empty and the Pred is not, correctness and completeness are both 0.0. The column definition asks for a percentage, but the prediction provides months."
NCT00104715_Gravis_GETUG_EU'15,OS Rate (%) | Low volume | Control,Gemini 2.5 Flash (native),numeric_tolerance,,83.4 mo,0.0,0.0,0.0,"GT is empty, but Pred has a value. Since the definition asks for a percentage and the predicted value is in months, this is incorrect."
NCT00104715_Gravis_GETUG_EU'15,OS Rate (%) | Low volume | Treatment,Gemini 2.5 Flash (free-form),numeric_tolerance,,"Median OS Not reached (NR; 95% CI, 69.5-NR)",0.0,0.0,0.0,"GT is empty, and Pred contains numbers. Therefore, correctness and completeness are both 0.0."
NCT00104715_Gravis_GETUG_EU'15,OS Rate (%) | Metachronous | Control,Gemini 2.5 Flash (free-form),numeric_tolerance,,"Median OS 69.8 months (95% CI, 62.2-NR)",0.0,0.0,0.0,"GT is empty, and Pred contains numbers. Therefore, correctness and completeness are both 0.0."
